id_detalle_pedido,id_pedido,id_producto,cantidad,precio_unitario
1,1,1,2,25.50
2,1,2,1,15.00
3,2,3,1,100.00
4,3,4,5,8.75
5,4,5,10,3.50
6,6,6,1,750.00
7,7,7,2,120.00
8,8,8,3,45.00
9,9,9,4,200.00
10,10,10,5,30.00
11,11,11,1,180.00
12,12,12,2,350.00
13,13,13,1,200.00
14,14,14,1,1200.00
15,15,15,4,25.00
16,16,16,3,45.00
17,17,17,1,220.00
18,18,18,2,800.00
19,19,19,3,150.00
20,20,20,1,500.00
21,21,21,4,60.00
22,22,22,2,85.00
23,23,23,1,400.00
24,24,24,3,90.00
25,25,18,2,800.00
26,26,20,1,500.00
27,27,21,3,60.00
28,28,22,4,85.00
29,29,23,1,400.00
30,30,24,2,90.00
31,31,17,1,220.00
32,32,18,3,800.00
33,33,19,2,150.00
34,34,20,1,500.00
35,35,21,2,60.00
36,36,22,1,85.00
37,37,23,3,400.00
38,38,24,2,90.00
39,39,17,4,220.00
40,40,18,2,800.00
41,41,20,2,500.00
42,42,21,1,60.00
43,43,22,3,85.00
44,44,23,1,400.00
45,45,24,2,90.00
46,46,17,4,220.00
47,47,18,1,800.00
