id_factura,fecha_factura,id_pedido,id_empleado,total_factura
1,2024-07-01,1,1,66.00
2,2024-07-02,2,2,100.00
3,2024-07-03,3,3,8.75
4,2024-07-04,4,4,35.00
5,2024-07-05,5,5,35.00
6,2024-07-06,6,6,750.00
7,2024-07-07,7,7,240.00
8,2024-07-08,8,8,135.00
9,2024-07-09,9,9,800.00
10,2024-07-10,10,10,150.00
11,2024-07-11,11,11,180.00
12,2024-07-12,12,12,700.00
13,2024-07-13,13,13,200.00
14,2024-07-14,14,14,1200.00
15,2024-07-15,15,15,100.00
16,2024-07-16,16,16,135.00
17,2024-07-17,17,17,220.00
18,2024-07-18,18,18,1600.00
19,2024-07-19,19,19,450.00
20,2024-07-20,20,20,500.00
21,2024-07-21,21,21,240.00
22,2024-07-22,22,22,170.00
23,2024-07-23,23,23,400.00
24,2024-07-24,24,24,270.00
