id_pedido,fecha_pedido,id_cliente,id_metodo_pago,id_empleado
1,2024-07-01,1,1,1
2,2024-07-02,2,2,2
3,2024-07-03,3,3,3
4,2024-07-04,4,4,4
5,2024-07-05,5,5,5
6,2024-07-06,6,1,6
7,2024-07-07,7,2,7
8,2024-07-08,8,3,8
9,2024-07-09,9,4,9
10,2024-07-10,10,5,10
11,2024-07-11,11,1,11
12,2024-07-12,12,2,12
13,2024-07-13,13,3,13
14,2024-07-14,14,4,14
15,2024-07-15,15,5,15
16,2024-07-16,16,1,16
17,2024-07-17,17,1,17
18,2024-07-18,18,2,18
19,2024-07-19,19,3,19
20,2024-07-20,20,4,20
21,2024-07-21,21,5,21
22,2024-07-22,22,1,22
23,2024-07-23,23,2,23
24,2024-07-24,24,3,24
25,2024-08-01,17,2,18
26,2024-08-02,18,3,19
27,2024-08-03,19,4,20
28,2024-08-04,20,5,21
29,2024-08-05,21,1,22
30,2024-08-06,22,2,23
31,2024-08-07,23,3,24
32,2024-08-08,24,4,17
33,2024-08-09,17,5,18
34,2024-08-10,18,1,19
35,2024-08-11,19,2,20
36,2024-08-12,20,3,21
37,2024-08-13,21,4,22
38,2024-08-14,22,5,23
39,2024-08-15,23,1,24
40,2024-08-16,24,2,17
41,2024-08-17,18,1,19
42,2024-08-18,19,2,20
43,2024-08-19,20,3,21
44,2024-08-20,21,4,22
45,2024-08-21,22,5,23
46,2024-08-22,23,1,24
47,2024-08-23,24,2,17
