id_factura,fecha_factura,id_pedido,id_empleado,total_factura
1,2024-07-01,1,3,66.00
2,2024-07-02,2,23,100.00
3,2024-07-03,3,3,8.75
4,2024-07-04,4,23,35.00
5,2024-07-05,5,3,35.00
6,2024-07-06,6,23,750.00
7,2024-07-07,7,3,240.00
8,2024-07-08,8,23,135.00
9,2024-07-09,9,3,800.00
10,2024-07-10,10,23,150.00
11,2024-07-11,11,3,180.00
12,2024-07-12,12,23,700.00
13,2024-07-13,13,3,200.00
14,2024-07-14,14,23,1200.00
15,2024-07-15,15,3,100.00
16,2024-07-16,16,23,135.00
17,2024-07-17,17,3,220.00
18,2024-07-18,18,23,1600.00
19,2024-07-19,19,3,450.00
20,2024-07-20,20,23,500.00
21,2024-07-21,21,3,240.00
22,2024-07-22,22,23,170.00
23,2024-07-23,23,23,400.00
24,2024-07-24,24,3,270.00
25,2024-08-01,25,23,1600.00
26,2024-08-02,26,3,500.00
27,2024-08-03,27,23,180.00
28,2024-08-04,28,3,340.00
29,2024-08-05,29,23,340.00
30,2024-08-06,30,23,180.00
31,2024-08-07,31,3,220.00
32,2024-08-08,32,23,2400.00
33,2024-08-09,33,3,450.00
34,2024-08-10,34,23,500.00
35,2024-08-11,35,3,120.00
36,2024-08-12,36,23,120.00
37,2024-08-13,37,3,1200.00
38,2024-08-14,38,23,180.00
39,2024-08-15,39,3,880.00
40,2024-08-16,40,23,1600.00
41,2024-08-17,41,3,1000.00
42,2024-08-18,42,23,60.00
43,2024-08-19,43,3,255.00
44,2024-08-20,44,23,400.00
45,2024-08-21,45,23,180.00
46,2024-08-22,46,3,880.00
47,2024-08-23,47,23,800.00
